date,location,aqi,parameter
2023-05-04T23:59:49+00:00,20th Street btw 6th &amp; 7th Ave,4.6,pm25
2023-05-04T23:59:32+00:00,PurpleRecords-2,7.8,pm25
2023-05-04T23:59:31+00:00,"Hoboken, NJ ",12.3,pm25
2023-05-04T23:59:28+00:00,LESBreathe5,12.8,pm25
2023-05-04T23:59:28+00:00,SunsetPark58th,6.7,pm25
2023-05-04T23:59:27+00:00,Montgomery and JFK Blvd,5.9,pm25
2023-05-04T23:59:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:59:22+00:00,NBN- Norman &amp; Russell,12.8,pm25
2023-05-04T23:59:21+00:00,Red Hook Farms - Columbia Street Farm 1,6.9,pm25
2023-05-04T23:59:03+00:00,PM - Chung Pak 4th Floor Rooftop,10.0,pm25
2023-05-04T23:59:01+00:00,LESBreathe3,11.6,pm25
2023-05-04T23:59:01+00:00,LESBreathe2,10.3,pm25
2023-05-04T23:58:47+00:00,PM - Chung Pak 13th Floor Rooftop,8.0,pm25
2023-05-04T23:58:47+00:00,Columbia St,9.3,pm25
2023-05-04T23:58:36+00:00,Red Hook Initiative,7.8,pm25
2023-05-04T23:58:27+00:00,LESBreathe1,11.8,pm25
2023-05-04T23:58:22+00:00,Hell's Kitchen,15.4,pm25
2023-05-04T23:58:21+00:00,Driggs 285,14.0,pm25
2023-05-04T23:57:32+00:00,PurpleRecords-2,8.1,pm25
2023-05-04T23:57:31+00:00,"Hoboken, NJ ",12.0,pm25
2023-05-04T23:57:28+00:00,LESBreathe5,14.6,pm25
2023-05-04T23:57:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:57:27+00:00,Montgomery and JFK Blvd,6.8,pm25
2023-05-04T23:57:27+00:00,SunsetPark58th,7.1,pm25
2023-05-04T23:57:22+00:00,NBN- Norman &amp; Russell,11.7,pm25
2023-05-04T23:57:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.3,pm25
2023-05-04T23:57:01+00:00,LESBreathe3,12.1,pm25
2023-05-04T23:57:01+00:00,LESBreathe2,10.0,pm25
2023-05-04T23:56:46+00:00,PM - Chung Pak 13th Floor Rooftop,9.4,pm25
2023-05-04T23:56:36+00:00,Red Hook Initiative,7.6,pm25
2023-05-04T23:56:27+00:00,LESBreathe1,10.8,pm25
2023-05-04T23:56:24+00:00,Driggs 285,15.1,pm25
2023-05-04T23:56:22+00:00,Hell's Kitchen,13.9,pm25
2023-05-04T23:56:05+00:00,MottAir01 Chinatown,17.0,pm25
2023-05-04T23:56:03+00:00,W36stNYC2,11.6,pm25
2023-05-04T23:56:03+00:00,WESS EH s25,12.4,pm25
2023-05-04T23:56:02+00:00,Beach JC,10.5,pm25
2023-05-04T23:56:01+00:00,Adelphi St,7.1,pm25
2023-05-04T23:55:48+00:00,20th Street btw 6th &amp; 7th Ave,5.1,pm25
2023-05-04T23:55:32+00:00,PurpleRecords-2,8.0,pm25
2023-05-04T23:55:31+00:00,"Hoboken, NJ ",11.5,pm25
2023-05-04T23:55:28+00:00,LESBreathe5,13.4,pm25
2023-05-04T23:55:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:55:27+00:00,SunsetPark58th,6.2,pm25
2023-05-04T23:55:27+00:00,Montgomery and JFK Blvd,6.8,pm25
2023-05-04T23:55:22+00:00,NBN- Norman &amp; Russell,13.6,pm25
2023-05-04T23:55:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.6,pm25
2023-05-04T23:55:04+00:00,PM - Chung Pak 4th Floor Rooftop,10.5,pm25
2023-05-04T23:55:01+00:00,LESBreathe2,10.2,pm25
2023-05-04T23:55:00+00:00,LESBreathe3,11.3,pm25
2023-05-04T23:54:46+00:00,PM - Chung Pak 13th Floor Rooftop,9.0,pm25
2023-05-04T23:54:39+00:00,WESS EH s25,12.6,pm25
2023-05-04T23:54:38+00:00,Columbia St,10.4,pm25
2023-05-04T23:54:36+00:00,Red Hook Initiative,8.1,pm25
2023-05-04T23:54:27+00:00,LESBreathe1,11.6,pm25
2023-05-04T23:54:22+00:00,Hell's Kitchen,14.9,pm25
2023-05-04T23:54:21+00:00,Driggs 285,14.2,pm25
2023-05-04T23:54:14+00:00,LES Breathe 4 - Williamsburg Bridge,14.4,pm25
2023-05-04T23:54:12+00:00,Purple Lorraine,9.7,pm25
2023-05-04T23:54:09+00:00,NBN - Bushwick and McKibbin,8.6,pm25
2023-05-04T23:54:05+00:00,MottAir01 Chinatown,19.1,pm25
2023-05-04T23:54:03+00:00,W36stNYC2,13.7,pm25
2023-05-04T23:54:02+00:00,Beach JC,11.0,pm25
2023-05-04T23:54:01+00:00,Adelphi St,8.1,pm25
2023-05-04T23:53:49+00:00,20th Street btw 6th &amp; 7th Ave,5.3,pm25
2023-05-04T23:53:32+00:00,PurpleRecords-2,8.9,pm25
2023-05-04T23:53:31+00:00,"Hoboken, NJ ",10.6,pm25
2023-05-04T23:53:28+00:00,LESBreathe5,15.8,pm25
2023-05-04T23:53:27+00:00,SunsetPark58th,6.2,pm25
2023-05-04T23:53:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:53:27+00:00,Montgomery and JFK Blvd,7.7,pm25
2023-05-04T23:53:22+00:00,NBN- Norman &amp; Russell,12.4,pm25
2023-05-04T23:53:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.4,pm25
2023-05-04T23:53:03+00:00,PM - Chung Pak 4th Floor Rooftop,10.8,pm25
2023-05-04T23:53:01+00:00,LESBreathe2,10.3,pm25
2023-05-04T23:53:00+00:00,LESBreathe3,11.7,pm25
2023-05-04T23:52:47+00:00,PM - Chung Pak 13th Floor Rooftop,8.9,pm25
